Date,Location,Annual Movement (%)
Jun-18,Brisbane,-0.5
Sep-18,Brisbane,-0.1
Dec-18,Brisbane,0.0
Mar-19,Brisbane,0.2
Jun-19,Brisbane,0.3
Sep-19,Brisbane,0.2
Dec-19,Brisbane,0.3
Mar-20,Brisbane,0.3
Jun-20,Brisbane,-0.4
Sep-20,Brisbane,-0.6
Dec-20,Brisbane,-0.3
Mar-21,Brisbane,0.2
Jun-21,Brisbane,1.7
Sep-21,Brisbane,2.8
Dec-21,Brisbane,3.0
Mar-22,Brisbane,3.7
Jun-22,Brisbane,4.0
Sep-22,Brisbane,4.8
Dec-22,Brisbane,6.0
Mar-23,Brisbane,7.0
Jun-23,Brisbane,8.9
"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023",Brisbane,
Jun-00,Australia,3.1
Sep-00,Australia,3.4
Dec-00,Australia,3.1
Mar-01,Australia,3.2
Jun-01,Australia,3.2
Sep-01,Australia,3.0
Dec-01,Australia,3.1
Mar-02,Australia,2.8
Jun-02,Australia,2.6
Sep-02,Australia,2.4
Dec-02,Australia,2.1
Mar-03,Australia,1.8
Jun-03,Australia,1.6
Sep-03,Australia,1.8
Dec-03,Australia,2.2
Mar-04,Australia,2.5
Jun-04,Australia,2.6
Sep-04,Australia,2.6
Dec-04,Australia,2.3
Mar-05,Australia,2.2
Jun-05,Australia,2.1
Sep-05,Australia,2.1
Dec-05,Australia,2.4
Mar-06,Australia,2.8
Jun-06,Australia,2.9
Sep-06,Australia,3.5
Dec-06,Australia,3.7
Mar-07,Australia,4.4
Jun-07,Australia,5.2
Sep-07,Australia,5.8
Dec-07,Australia,6.5
Mar-08,Australia,7.0
Jun-08,Australia,7.8
Sep-08,Australia,8.1
Dec-08,Australia,8.4
Mar-09,Australia,8.1
Jun-09,Australia,7.2
Sep-09,Australia,6.2
Dec-09,Australia,5.2
Mar-10,Australia,4.7
Jun-10,Australia,4.3
Sep-10,Australia,4.2
Dec-10,Australia,4.3
Mar-11,Australia,4.5
Jun-11,Australia,4.5
Sep-11,Australia,4.7
Dec-11,Australia,4.7
Mar-12,Australia,4.5
Jun-12,Australia,4.4
Sep-12,Australia,4.0
Dec-12,Australia,3.7
Mar-13,Australia,3.5
Jun-13,Australia,3.4
Sep-13,Australia,3.2
Dec-13,Australia,3.0
Mar-14,Australia,2.9
Jun-14,Australia,2.4
Sep-14,Australia,2.5
Dec-14,Australia,2.4
Mar-15,Australia,2.1
Jun-15,Australia,1.9
Sep-15,Australia,1.5
Dec-15,Australia,1.2
Mar-16,Australia,0.9
Jun-16,Australia,0.7
Sep-16,Australia,0.7
Dec-16,Australia,0.6
Mar-17,Australia,0.6
Jun-17,Australia,0.6
Sep-17,Australia,0.5
Dec-17,Australia,0.7
Mar-18,Australia,0.8
Jun-18,Australia,0.6
Sep-18,Australia,0.6
Dec-18,Australia,0.5
Mar-19,Australia,0.4
Jun-19,Australia,0.4
Sep-19,Australia,0.4
Dec-19,Australia,0.2
Mar-20,Australia,0.2
Jun-20,Australia,-1.2
Sep-20,Australia,-1.4
Dec-20,Australia,-1.3
Mar-21,Australia,-1.4
Jun-21,Australia,0.0
Sep-21,Australia,0.4
Dec-21,Australia,0.4
Mar-22,Australia,1.0
Jun-22,Australia,1.6
Sep-22,Australia,2.8
Dec-22,Australia,4.0
Mar-23,Australia,4.9
Jun-23,Australia,6.7
"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023",Australia,
